[TRAIN]: (73/1600): reward: 5.897929430007935, rate: 12.897929430007935, loss: 0.013354907743632793, rho: 0.4
[TRAIN]: (74/1600): reward: -8.635895401239395, rate: 0.36410459876060486, loss: 0.016278227791190147, rho: 0.4
[TRAIN]: (75/1600): reward: -14.0, rate: 0, loss: 0.01100810244679451, rho: 0.4
[TRAIN]: (76/1600): reward: -5.800112247467041, rate: 4.199887752532959, loss: 0.012469608336687088, rho: 0.4
[TRAIN]: (77/1600): reward: -2.203697681427002, rate: 9.796302318572998, loss: 0.013882160186767578, rho: 0.4
[TRAIN]: (78/1600): reward: -4.469799965620041, rate: 4.530200034379959, loss: 0.011633917689323425, rho: 0.4
[TRAIN]: (79/1600): reward: -14.0, rate: 0, loss: 0.008471664972603321, rho: 0.4
[TRAIN]: (80/1600): reward: -11.796224772930145, rate: 0.20377522706985474, loss: 0.014047694392502308, rho: 0.4
[TRAIN]: (81/1600): reward: -0.33549103140830994, rate: 8.66450896859169, loss: 0.01180941704660654, rho: 0.4
[TRAIN]: (82/1600): reward: -10.361467003822327, rate: 0.6385329961776733, loss: 0.011432998813688755, rho: 0.4
[TRAIN]: (83/1600): reward: -9.645312368869781, rate: 0.3546876311302185, loss: 0.012420890852808952, rho: 0.4
[TRAIN]: (84/1600): reward: -4.568185806274414, rate: 5.431814193725586, loss: 0.013611163012683392, rho: 0.4
[TRAIN]: (85/1600): reward: -10.931333482265472, rate: 0.06866651773452759, loss: 0.011484963819384575, rho: 0.4
[TRAIN]: (86/1600): reward: -6.954325586557388, rate: 5.045674413442612, loss: 0.011010135523974895, rho: 0.4
[TRAIN]: (87/1600): reward: -11.0, rate: 0, loss: 0.009973348118364811, rho: 0.4
[TRAIN]: (88/1600): reward: 0.30834484100341797, rate: 11.308344841003418, loss: 0.011450907215476036, rho: 0.4
[TRAIN]: (89/1600): reward: -11.918401837348938, rate: 0.08159816265106201, loss: 0.0125447241589427, rho: 0.4
[TRAIN]: (90/1600): reward: -13.0, rate: 0, loss: 0.009251267649233341, rho: 0.4
[TRAIN]: (91/1600): reward: -9.846157878637314, rate: 0.15384212136268616, loss: 0.011196748353540897, rho: 0.4
[TRAIN]: (92/1600): reward: -12.0, rate: 0, loss: 0.011915119364857674, rho: 0.4
[TRAIN]: (93/1600): reward: -6.211498737335205, rate: 4.788501262664795, loss: 0.011946329846978188, rho: 0.4
[TRAIN]: (94/1600): reward: -15.0, rate: 0, loss: 0.012660508044064045, rho: 0.4
[TRAIN]: (95/1600): reward: -8.936250768601894, rate: 0.06374923139810562, loss: 0.010837126523256302, rho: 0.4
[TRAIN]: (96/1600): reward: -7.1191792488098145, rate: 2.8808207511901855, loss: 0.008909007534384727, rho: 0.4
[TRAIN]: (97/1600): reward: -13.83825108408928, rate: 0.16174891591072083, loss: 0.008178182877600193, rho: 0.4
[TRAIN]: (98/1600): reward: -10.228149175643921, rate: 3.771850824356079, loss: 0.010705788619816303, rho: 0.4
[TRAIN]: (99/1600): reward: -8.102039158344269, rate: 4.897960841655731, loss: 0.01092531904578209, rho: 0.4
[TRAIN]: (100/1600): reward: -0.1946648210287094, rate: 7.805335178971291, loss: 0.009841833263635635, rho: 0.4
[TRAIN]: (101/1600): reward: 8.877287158742547, rate: 15.877287158742547, loss: 0.009475567378103733, rho: 0.4
[TRAIN]: (102/1600): reward: -10.0, rate: 0, loss: 0.012650467455387115, rho: 0.4
[TRAIN]: (103/1600): reward: 5.281422525644302, rate: 10.281422525644302, loss: 0.010325700044631958, rho: 0.4
[TRAIN]: (104/1600): reward: -11.751134604215622, rate: 0.24886539578437805, loss: 0.009347090497612953, rho: 0.4
[TRAIN]: (105/1600): reward: -3.3620388507843018, rate: 7.637961149215698, loss: 0.015690119937062263, rho: 0.4
[TRAIN]: (106/1600): reward: -2.0742583675310016, rate: 5.925741632468998, loss: 0.010924233123660088, rho: 0.4
[TRAIN]: (107/1600): reward: -9.359751332551241, rate: 4.640248667448759, loss: 0.011091555468738079, rho: 0.4
[TRAIN]: (108/1600): reward: -5.867736861109734, rate: 5.132263138890266, loss: 0.01506071351468563, rho: 0.4
[TRAIN]: (109/1600): reward: 1.6111128330230713, rate: 10.611112833023071, loss: 0.012972461991012096, rho: 0.4
[TRAIN]: (110/1600): reward: -7.452260956168175, rate: 0.5477390438318253, loss: 0.014022576622664928, rho: 0.4
[TRAIN]: (111/1600): reward: -0.007544994354248047, rate: 9.992455005645752, loss: 0.013210455887019634, rho: 0.4
[TRAIN]: (112/1600): reward: -9.434723377227783, rate: 2.565276622772217, loss: 0.01041062455624342, rho: 0.4
[TRAIN]: (113/1600): reward: 4.026304244995117, rate: 12.026304244995117, loss: 0.011227542534470558, rho: 0.4
[TRAIN]: (114/1600): reward: -4.702576011419296, rate: 5.297423988580704, loss: 0.011462146416306496, rho: 0.4
[TRAIN]: (115/1600): reward: -6.6787896156311035, rate: 4.3212103843688965, loss: 0.008377807214856148, rho: 0.4
[TRAIN]: (116/1600): reward: -11.789808511734009, rate: 1.2101914882659912, loss: 0.012957165017724037, rho: 0.4
[TRAIN]: (117/1600): reward: 1.8291033804416656, rate: 10.829103380441666, loss: 0.011717462912201881, rho: 0.4
[TRAIN]: (118/1600): reward: 3.8474740982055664, rate: 9.847474098205566, loss: 0.011308570392429829, rho: 0.4
[TRAIN]: (119/1600): reward: -12.0, rate: 0, loss: 0.012385861948132515, rho: 0.4
[TRAIN]: (120/1600): reward: -9.957818739116192, rate: 0.042181260883808136, loss: 0.014401483349502087, rho: 0.4
[TRAIN]: (121/1600): reward: -5.460253715515137, rate: 4.539746284484863, loss: 0.014311524108052254, rho: 0.4
[TRAIN]: (122/1600): reward: 1.710682362318039, rate: 11.710682362318039, loss: 0.011582699604332447, rho: 0.4
[TRAIN]: (123/1600): reward: -13.0, rate: 0, loss: 0.009139155969023705, rho: 0.4
[TRAIN]: (124/1600): reward: -10.0, rate: 0, loss: 0.014875994995236397, rho: 0.4
[TRAIN]: (125/1600): reward: -14.0, rate: 0, loss: 0.014181402511894703, rho: 0.4
[TRAIN]: (126/1600): reward: -0.84661465883255, rate: 9.15338534116745, loss: 0.01181455422192812, rho: 0.4
[TRAIN]: (127/1600): reward: -5.234874248504639, rate: 4.765125751495361, loss: 0.015409611165523529, rho: 0.4
[TRAIN]: (128/1600): reward: -8.907122172415257, rate: 0.0928778275847435, loss: 0.009363842196762562, rho: 0.4
[TRAIN]: (129/1600): reward: 4.23491108417511, rate: 11.23491108417511, loss: 0.01202373392879963, rho: 0.4
[TRAIN]: (130/1600): reward: -8.0, rate: 0, loss: 0.012561281211674213, rho: 0.4
[TRAIN]: (131/1600): reward: -9.081206321716309, rate: 4.918793678283691, loss: 0.012144881300628185, rho: 0.4
[TRAIN]: (132/1600): reward: -0.045331865549087524, rate: 10.954668134450912, loss: 0.00996423326432705, rho: 0.4
[TRAIN]: (133/1600): reward: -8.336925372481346, rate: 0.6630746275186539, loss: 0.010336874052882195, rho: 0.4
[TRAIN]: (134/1600): reward: -9.72846782207489, rate: 0.27153217792510986, loss: 0.011992277577519417, rho: 0.4
[TRAIN]: (135/1600): reward: -9.0, rate: 0, loss: 0.013054822571575642, rho: 0.4
[TRAIN]: (136/1600): reward: -9.228315830230713, rate: 3.771684169769287, loss: 0.011011212132871151, rho: 0.4
