[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 257
[ENV]: Finished init Environment
[TRAIN]: actions: 257, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (4): action: 137, observation: (1, 0, 0.0, 0.1374079217265456, 0.013704599407606488, 3.3002567990940546, 0.18733401936728622, 10.193276978867697, 0.44193420323983296, 3.4057065883562823, 4.212937874088538, 2.158249154902412), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 247, observation: (1, 0.1243726428341176, -0.2818773571658824, 0.12451550562312497, 0.15475153821344045, 1.0786999787785005, 26.463925032031103, 8.79767022818479, 47.485094556662155, 0.05019370441018828, 15.915985226450545, 19.61872722608168), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 244, observation: (1, 0.013910855674592493, -0.68984150149129, 0.5270433987411819, 0.3406272157357296, 7.822645440410692, 1.51480950388157, 0.10898878531139634, 19.635965893626942, 0.534445641468301, 6.574346130018639, 10.807823067576766), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 214, observation: (1, 1.6549614494528406, 0.5, 0.8887102496334413, 0.25217541257062803, 5.995548816790691, 29.957932455806954, 1.3778540566740405, 20.09081811475665, 17.83142641335102, 28.34525530025749, 2.6291752152062338), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 251, observation: (1, 11.40705960615456, 0.5, 0.1902239047580162, 0.7909286444459552, 0.42666275092197786, 3.0193379501123765, 12.54736389096475, 2.5429218532742275, 2.2465406683849594, 3.9203964871406667, 6.988509102219178), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 151, observation: (1, 2.5888153848365176, 0.5, 0.6653853444831448, 0.8008271182702003, 14.549488595900558, 8.974311598412472, 39.80883786307299, 0.27965964475497085, 1.7977926850087165, 12.575053557220357, 33.67033440052159), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 202, observation: (1, 16.056006614515347, 0.5, 0.5218554114429136, 0.5885432362648431, 4.178561153040147, 1.043381972424573, 8.084260132980244, 5.690067548602904, 5.939094035405523, 6.194480726727658, 0.21006136705168102), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 118, observation: (1, 1.5908140029829863, 0.5, 0.8044606556565854, 0.4909292638906011, 29.19057164772073, 0.39392686147258327, 9.612480396767623, 5.113121115117822, 1.0473844351427262, 3.0878365502295697, 1.4805742860504443), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 80, observation: (1, 1.53948341454416, 0.5, 0.7245062313387582, 0.02412193972130494, 12.826209180243017, 8.650849994375868, 0.4473011395847207, 1.6796983232075346, 3.2982765434510175, 7.246141685432521, 13.061108324715692), rho: 0.5, reward: 3.5913729667663574 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 250, observation: (1, 2.479991444346356, 0.5, 0.19297335021468964, 0.4102660391926296, 1.8020647465529838, 9.1551731716765, 14.26647670641437, 6.131804358145384, 25.85347047902095, 5.487016214116905, 40.31324784948794), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 132, observation: (0, 7.542550085012789, 0.5, 0.09852575829406174, 0.029701965092026494, 6.252026752195622, 10.418946261046445, 3.8918684665110845, 9.23974287056718, 6.694415746270566, 0.24386884814712245, 4.80534170296351), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 218, observation: (0, 0.1434580442491704, 0.2684580442491704, 0.012965411922996162, 0.3042521657518372, 12.040003868276221, 11.223011379961187, 2.4512514458924897, 0.5154738851101781, 12.313603866465282, 1.2372809946928311, 3.3889144055823976), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 43, observation: (0, 0.09406035984613022, 0.15939340409530062, 0.8153157926014548, 0.3714940967334843, 52.08527996845628, 8.849012002787319, 1.0768691746988837, 2.188409040485573, 3.6207064008464895, 0.9637302883098824, 0.03554169179899425), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 49, observation: (0, 0.48902684519905926, 0.4765452492943598, 0.5910210581919147, 0.4290423741785514, 23.46150653464592, 1.8899376860021977, 0.20986300701090868, 4.2702405232818075, 4.756896144009004, 8.17079742754235, 7.493396561153683), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 36, observation: (0, 3.6760283422564908, 0.5, 0.5350381272818344, 0.31503529176652034, 5.929532883566072, 9.336704996785292, 7.449774918789874, 5.601252265762331, 2.72599565020402, 15.717235218624827, 0.6903817821706472), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 182, observation: (0, 3.983576626861702, 0.5, 0.759538907771961, 0.8134058779924642, 7.365369211669506, 17.026256604721468, 10.057280241969718, 13.977409558792665, 3.811679996727273, 4.448658978083441, 8.778490211874118), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
