[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 257
[ENV]: Finished init Environment
[TRAIN]: actions: 257, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1): action: 26, observation: (1, 0.012016783270830823, 0.0, 0.13688068058467895, 0.39978143135417876, 1.298611360039865, 0.700236861223011, 3.5238702456244084, 3.499991508459485, 23.588065807804874, 11.468527920189473, 4.487030949441372), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 191, observation: (0, 1.0937258982210112, 0.5, 0.8594639087537352, 0.3068125159165166, 4.524633239454659, 35.74491894320831, 2.863339810496342, 0.47012046712042677, 6.298588956795146, 3.348265528778743, 5.625463088995719), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3/1400): reward: -12.72423366829753, rho: 0.4000000000000001, rates: 0.26378831658512353
[TRAIN]: (4): action: 137, observation: (1, 0.5534645988618003, 0.0, 0.9247511818192065, 0.5426199256507608, 3.3002567990940546, 4.911929667435232, 30.76252940657101, 2.312835625996339, 4.638040853531369, 41.52534978828893, 2.2790801364525985), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 247, observation: (1, 0.06137520309573901, 0.06596459886180034, 0.4140697994959007, 0.09616789659483516, 1.0786999787785005, 10.929199333334708, 3.6527747175628242, 5.783438654803279, 2.144437121151773, 15.30370948005646, 2.463235142662697), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 244, observation: (1, 2.19097446602277, -0.3789101980424606, 0.8707315529813623, 0.4730881766495334, 7.822645440410692, 15.98484590966152, 33.57466549222502, 9.18059871735126, 16.254296473063658, 0.6563611969071306, 12.287630059722368), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 214, observation: (1, 0.5173468790683594, 0.5, 0.704648334732479, 0.7875004285223455, 5.995548816790691, 17.674743135797968, 0.33186590975179403, 16.606444728969656, 3.3374375019984193, 1.6328814139020134, 1.738621162063161), rho: 0.4, reward: 0.5989819169044495 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 251, observation: (1, 6.620284405019788, 0.5, 0.3406448405193362, 0.9148531365938851, 0.42666275092197786, 0.11550203883128304, 12.245623405718051, 0.07075561791273247, 6.178599619944873, 33.778524321229284, 19.538496208195596), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 151, observation: (1, 0.4288834117987176, 0.5, 0.931822548553983, 0.6353263269272602, 14.549488595900558, 21.02689098712578, 0.35266600780465, 12.111496051946137, 25.838761282301608, 0.1287577096375335, 1.2043785154874915), rho: 0.4, reward: 0.42662572860717773 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 202, observation: (1, 5.364671797080505, 0.4976334117987176, 0.1347771994873741, 0.5315116442319687, 4.178561153040147, 8.289056005517274, 4.905711453649655, 5.619361008241972, 2.3582081809783997, 3.8365024379200197, 27.486035870137773), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 118, observation: (1, 0.46254760785583315, 0.5, 0.4459157941066769, 0.6531884737494057, 29.19057164772073, 1.8608519436381536, 1.3040097026303774, 39.75808570925226, 6.104676821464194, 4.055361356554462, 1.1476624338383878), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
