[TRAIN]: (72/1600): reward: -59.77849179506302, rate: 1.2215081625362998, loss: 0.5194796323776245, rho: 0.4
[TRAIN]: (73/1600): reward: -33.38507658243179, rate: 2.6149233190989944, loss: 0.6206148266792297, rho: 0.4
[TRAIN]: (74/1600): reward: -44.68597161769867, rate: 0.31402831327340497, loss: 0.4647432267665863, rho: 0.4
[TRAIN]: (75/1600): reward: -70.0, rate: 0, loss: 0.5608050227165222, rho: 0.4
[TRAIN]: (76/1600): reward: -52.3277587890625, rate: 0.6722413683737662, loss: 0.5073028206825256, rho: 0.4
[TRAIN]: (77/1600): reward: -62.2300621420145, rate: 1.7699377159274008, loss: 0.41865068674087524, rho: 0.4
[TRAIN]: (78/1600): reward: -41.71528363227844, rate: 2.2847164475383366, loss: 0.5679233074188232, rho: 0.4
[TRAIN]: (79/1600): reward: -54.75963044166565, rate: 1.2403695911229478, loss: 0.4981817901134491, rho: 0.4
[TRAIN]: (80/1600): reward: -63.79513901472092, rate: 0.20486100067146865, loss: 0.713458240032196, rho: 0.4
[TRAIN]: (81/1600): reward: -48.0268956720829, rate: 1.9731043655390046, loss: 0.5781925320625305, rho: 0.4
[TRAIN]: (82/1600): reward: -58.42643713951111, rate: 0.5735628178906105, loss: 0.6581103205680847, rho: 0.4
[TRAIN]: (83/1600): reward: -50.49966049194336, rate: 0.5003394109050409, loss: 0.4658361077308655, rho: 0.4
[TRAIN]: (84/1600): reward: -46.27355682849884, rate: 0.7264431500811354, loss: 0.5541394352912903, rho: 0.4
[TRAIN]: (85/1600): reward: -53.65989464521408, rate: 0.34010536200622415, loss: 0.5981126427650452, rho: 0.4
[TRAIN]: (86/1600): reward: -55.64560949802399, rate: 0.35439038510680376, loss: 0.4337735176086426, rho: 0.4
[TRAIN]: (87/1600): reward: -51.54264146089554, rate: 0.4573584475686402, loss: 0.3740323483943939, rho: 0.4
[TRAIN]: (88/1600): reward: -73.82683539390564, rate: 0.17316464233737458, loss: 0.5804664492607117, rho: 0.4
[TRAIN]: (89/1600): reward: -43.403354436159134, rate: 2.5966455248890057, loss: 0.5006613731384277, rho: 0.4
[TRAIN]: (90/1600): reward: -47.70588427782059, rate: 4.294115654392568, loss: 0.4860652983188629, rho: 0.4
[TRAIN]: (91/1600): reward: -59.38112163543701, rate: 0.6188782940582571, loss: 0.5071824193000793, rho: 0.4
[TRAIN]: (92/1600): reward: -41.699087016284466, rate: 2.300912936333023, loss: 0.6151216626167297, rho: 0.4
[TRAIN]: (93/1600): reward: -50.67084765434265, rate: 0.32915231956147367, loss: 0.4472106397151947, rho: 0.4
[TRAIN]: (94/1600): reward: -44.086333096027374, rate: 1.913666931731954, loss: 0.5793716311454773, rho: 0.4
[TRAIN]: (95/1600): reward: -49.16793131828308, rate: 1.832068746954976, loss: 0.5689871311187744, rho: 0.4
[TRAIN]: (96/1600): reward: -52.730631589889526, rate: 0.26936836736381187, loss: 0.6355075240135193, rho: 0.4
[TRAIN]: (97/1600): reward: -60.65249589085579, rate: 2.347504078580614, loss: 0.4796545207500458, rho: 0.4
[TRAIN]: (98/1600): reward: -45.65087819099426, rate: 2.349121723907703, loss: 0.3583303689956665, rho: 0.4
[TRAIN]: (99/1600): reward: -71.77393531799316, rate: 0.22606458213524042, loss: 0.46253418922424316, rho: 0.4
[TRAIN]: (100/1600): reward: -46.54771280288696, rate: 0.4522873416839467, loss: 0.5594310164451599, rho: 0.4
[TRAIN]: (101/1600): reward: -30.457936942577362, rate: 2.5420631037127244, loss: 0.6319878697395325, rho: 0.4
[TRAIN]: (102/1600): reward: -36.88467359542847, rate: 1.1153263873923207, loss: 0.5112217664718628, rho: 0.4
[TRAIN]: (103/1600): reward: -61.751373410224915, rate: 0.24862662935900662, loss: 0.6304513812065125, rho: 0.4
[TRAIN]: (104/1600): reward: -30.048183381557465, rate: 3.951816752515234, loss: 0.5743842720985413, rho: 0.4
[TRAIN]: (105/1600): reward: -61.35810112953186, rate: 0.6418989144331708, loss: 0.5015789270401001, rho: 0.4
[TRAIN]: (106/1600): reward: -49.23544806241989, rate: 0.7645519090425603, loss: 0.47242918610572815, rho: 0.4
[TRAIN]: (107/1600): reward: -37.28853785991669, rate: 2.7114622972756113, loss: 0.5693007707595825, rho: 0.4
[TRAIN]: (108/1600): reward: -36.51402074098587, rate: 2.485979274010983, loss: 0.4202868938446045, rho: 0.4
[TRAIN]: (109/1600): reward: -56.979939341545105, rate: 1.0200607961785366, loss: 0.6357716917991638, rho: 0.4
[TRAIN]: (110/1600): reward: -63.55805969238281, rate: 0.44194028102360444, loss: 0.48126888275146484, rho: 0.4
[TRAIN]: (111/1600): reward: -52.09214401245117, rate: 1.9078559373267376, loss: 0.516939103603363, rho: 0.4
[TRAIN]: (112/1600): reward: -64.0, rate: 0, loss: 0.5709139704704285, rho: 0.4
[TRAIN]: (113/1600): reward: -51.13009190559387, rate: 0.8699081439163634, loss: 0.4888586103916168, rho: 0.4
[TRAIN]: (114/1600): reward: -42.30505731701851, rate: 0.694942798399198, loss: 0.5673243403434753, rho: 0.4
[TRAIN]: (115/1600): reward: -55.12207317352295, rate: 0.8779267986844093, loss: 0.6273790597915649, rho: 0.4
[TRAIN]: (116/1600): reward: -51.95976495742798, rate: 1.040235080999239, loss: 0.5133018493652344, rho: 0.4
[TRAIN]: (117/1600): reward: -47.9129942804575, rate: 1.087005934845253, loss: 0.5324637293815613, rho: 0.4
[TRAIN]: (118/1600): reward: -54.345526695251465, rate: 0.65447331256793, loss: 0.6004785895347595, rho: 0.4
[TRAIN]: (119/1600): reward: -41.03734976053238, rate: 1.962650321793555, loss: 0.5993883609771729, rho: 0.4
[TRAIN]: (120/1600): reward: -73.0, rate: 0.0, loss: 0.4501715302467346, rho: 0.4
[TRAIN]: (121/1600): reward: -63.75654065608978, rate: 1.2434593832662901, loss: 0.41887712478637695, rho: 0.4
[TRAIN]: (122/1600): reward: -39.72880244255066, rate: 1.2711976893412416, loss: 0.45854267477989197, rho: 0.4
[TRAIN]: (123/1600): reward: -41.03805357217789, rate: 1.961946384656725, loss: 0.5845333337783813, rho: 0.4
[TRAIN]: (124/1600): reward: -51.058687537908554, rate: 1.9413122806786842, loss: 0.4551428258419037, rho: 0.4
[TRAIN]: (125/1600): reward: -46.30686593055725, rate: 2.693134123415287, loss: 0.6376180648803711, rho: 0.4
[TRAIN]: (126/1600): reward: -61.65612727403641, rate: 1.343872595927444, loss: 0.46432191133499146, rho: 0.4
[TRAIN]: (127/1600): reward: -47.48946937918663, rate: 2.5105305159256277, loss: 0.5399209260940552, rho: 0.4
[TRAIN]: (128/1600): reward: -23.864419758319855, rate: 1.1355803095671861, loss: 0.6288273334503174, rho: 0.4
[TRAIN]: (129/1600): reward: -54.78715243935585, rate: 2.212847471569061, loss: 0.5678325891494751, rho: 0.4
[TRAIN]: (130/1600): reward: -75.14933681488037, rate: 0.8506631045732933, loss: 0.4254799783229828, rho: 0.4
[TRAIN]: (131/1600): reward: -71.57090401649475, rate: 0.4290959598824626, loss: 0.5957203507423401, rho: 0.4
[TRAIN]: (132/1600): reward: -46.3729407787323, rate: 3.6270592540429307, loss: 0.4941433370113373, rho: 0.4
[TRAIN]: (133/1600): reward: -55.34767687320709, rate: 0.6523231023068684, loss: 0.527134358882904, rho: 0.4
[TRAIN]: (134/1600): reward: -32.165581583976746, rate: 1.8344184686260885, loss: 0.367279976606369, rho: 0.4
[TRAIN]: (135/1600): reward: -70.98221671581268, rate: 1.0177833169426442, loss: 0.5388246774673462, rho: 0.4
[TRAIN]: (136/1600): reward: -32.80905294418335, rate: 1.1909469366231273, loss: 0.461544007062912, rho: 0.4
[TRAIN]: (137/1600): reward: -53.5550639629364, rate: 2.4449363026794853, loss: 0.4650416076183319, rho: 0.4
[TRAIN]: (138/1600): reward: -61.44458222389221, rate: 0.5554177189337278, loss: 0.6748244166374207, rho: 0.4
[TRAIN]: (139/1600): reward: -73.27242922782898, rate: 0.7275706925121008, loss: 0.6095560789108276, rho: 0.4
[TRAIN]: (140/1600): reward: -48.91060447692871, rate: 0.08939548168582526, loss: 0.5118784308433533, rho: 0.4
[TRAIN]: (141/1600): reward: -51.971957832574844, rate: 2.0280421702891873, loss: 0.5884327292442322, rho: 0.4
[TRAIN]: (142/1600): reward: -51.9664226770401, rate: 1.0335772152171578, loss: 0.5648611783981323, rho: 0.4
[TRAIN]: (143/1600): reward: -60.39643317461014, rate: 1.6035667576843777, loss: 0.52507483959198, rho: 0.4
[TRAIN]: (144/1600): reward: -47.0, rate: 0, loss: 0.5491068363189697, rho: 0.4
[TRAIN]: (145/1600): reward: -69.88579082489014, rate: 1.114209177704593, loss: 0.5672605633735657, rho: 0.4
[TRAIN]: (146/1600): reward: -54.482645988464355, rate: 0.5173540121259304, loss: 0.46644145250320435, rho: 0.4
[TRAIN]: (147/1600): reward: -46.62457489967346, rate: 0.37542500814126356, loss: 0.5587347745895386, rho: 0.4
[TRAIN]: (148/1600): reward: -51.420814633369446, rate: 1.579185277335077, loss: 0.6547020077705383, rho: 0.4
[TRAIN]: (149/1600): reward: -65.61914777755737, rate: 0.38085211640396, loss: 0.524117648601532, rho: 0.4
[TRAIN]: (150/1600): reward: -62.27282118797302, rate: 0.7271788169049535, loss: 0.4940808415412903, rho: 0.4
[TRAIN]: (151/1600): reward: -47.9776474237442, rate: 3.022352551922906, loss: 0.5068581104278564, rho: 0.4
[TRAIN]: (152/1600): reward: -41.62984523177147, rate: 0.3701547773441917, loss: 0.4825265109539032, rho: 0.4
[TRAIN]: (153/1600): reward: -39.34854954481125, rate: 2.6514503645106045, loss: 0.3823413550853729, rho: 0.4
[TRAIN]: (154/1600): reward: -60.78493309020996, rate: 0.2150670114763666, loss: 0.5317572951316833, rho: 0.4
