[TRAIN]: (61/1600): reward: 1.5767312049865723, rate: 10.576730728149414, td_error: -0.4569338402710855, rho: 0.4
[TRAIN]: (62/1600): reward: -4.713648319244385, rate: 6.286351680755615, td_error: -0.523386821616441, rho: 0.4
[TRAIN]: (63/1600): reward: -7.291259206831455, rate: 4.708740711212158, td_error: -0.44097617268562317, rho: 0.4
[TRAIN]: (64/1600): reward: -9.804914131760597, rate: 0.19508586823940277, td_error: -0.4037667378783226, rho: 0.4
[TRAIN]: (65/1600): reward: -4.105331575497985, rate: 4.8946685791015625, td_error: -0.43546099960803986, rho: 0.4
[TRAIN]: (66/1600): reward: 1.737515140324831, rate: 11.73751449584961, td_error: -0.5660060027614235, rho: 0.4
[TRAIN]: (67/1600): reward: -3.0309943109750748, rate: 4.969005584716797, td_error: -0.3298420310020447, rho: 0.4
[TRAIN]: (68/1600): reward: -6.331749968230724, rate: 4.66825008392334, td_error: -0.5621803045272827, rho: 0.4
[TRAIN]: (69/1600): reward: -1.3054161071777344, rate: 9.694583892822266, td_error: -0.41629531010985377, rho: 0.4
[TRAIN]: (70/1600): reward: -9.475328577682376, rate: 0.5246714353561401, td_error: -0.42974424362182617, rho: 0.4
[TRAIN]: (71/1600): reward: -15.0, rate: 0, td_error: -0.6946163654327393, rho: 0.4
[TRAIN]: (72/1600): reward: -4.611230209469795, rate: 5.388769626617432, td_error: -0.3302712103351951, rho: 0.4
[TRAIN]: (73/1600): reward: -7.452639579772949, rate: 4.547360420227051, td_error: -0.47096227407455443, rho: 0.4
[TRAIN]: (74/1600): reward: 0.6558258533477783, rate: 9.6558256149292, td_error: -0.4385262131690979, rho: 0.4
[TRAIN]: (75/1600): reward: 3.74044132232666, rate: 12.74044132232666, td_error: -0.6161670085042715, rho: 0.4
[TRAIN]: (76/1600): reward: -5.1385891661047935, rate: 4.861410617828369, td_error: -0.5209622740745544, rho: 0.4
[TRAIN]: (77/1600): reward: 4.56865006685257, rate: 14.568649291992188, td_error: -0.486783829331398, rho: 0.4
[TRAIN]: (78/1600): reward: -9.896349668502808, rate: 0.10365033149719238, td_error: -0.6033983349800109, rho: 0.4
[TRAIN]: (79/1600): reward: -11.887564107775688, rate: 0.11243589222431183, td_error: -0.725685752928257, rho: 0.4
[TRAIN]: (80/1600): reward: -9.640718638896942, rate: 0.35928136110305786, td_error: -0.4885262131690979, rho: 0.4
[TRAIN]: (81/1600): reward: -4.231665086001158, rate: 4.768334865570068, td_error: -0.3516762927174568, rho: 0.4
[TRAIN]: (82/1600): reward: -6.645957142114639, rate: 1.354042887687683, td_error: -0.5259760454297066, rho: 0.4
[TRAIN]: (83/1600): reward: -8.183596074581146, rate: 0.8164039254188538, td_error: -0.556280143558979, rho: 0.4
[TRAIN]: (84/1600): reward: -1.4655890464782715, rate: 9.53441047668457, td_error: -0.6644550930708647, rho: 0.4
[TRAIN]: (85/1600): reward: -8.124134540557861, rate: 4.875865459442139, td_error: -0.44596227407455447, rho: 0.4
[TRAIN]: (86/1600): reward: 1.161850929260254, rate: 10.161850929260254, td_error: -0.43534449841827155, rho: 0.4
[TRAIN]: (87/1600): reward: -2.910696178674698, rate: 5.089303970336914, td_error: -0.5319995170459151, rho: 0.4
[TRAIN]: (88/1600): reward: -5.773212909698486, rate: 5.226787090301514, td_error: -0.39730818271636964, rho: 0.4
[TRAIN]: (89/1600): reward: -8.0, rate: 0, td_error: -0.4486540913581848, rho: 0.4
[TRAIN]: (90/1600): reward: -11.931915998458862, rate: 1.0680840015411377, td_error: -0.5316362738609314, rho: 0.4
[TRAIN]: (91/1600): reward: -3.690896512940526, rate: 8.309103012084961, td_error: -0.6109341014176607, rho: 0.4
[TRAIN]: (92/1600): reward: -3.1168203353881836, rate: 6.883179664611816, td_error: -0.4385262131690979, rho: 0.4
[TRAIN]: (93/1600): reward: -1.2186880111694336, rate: 9.781311988830566, td_error: -0.5627828299999237, rho: 0.4
[TRAIN]: (94/1600): reward: 0.0326387882232666, rate: 9.032638549804688, td_error: -0.3328342575579882, rho: 0.4
