[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66, [(0.0, 0.09375, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.09375, 0.4), (1.0, 0.59375, 0.4), (0.0, 0.46875, 0.4), (0.0, 0.5625, 0.4), (0.0, 0.28125, 0.4), (1.0, 0.6875, 0.4), (0.0, 0.375, 0.4), (0.0, 0.1875, 0.4), (1.0, 0.0625, 0.4), (1.0, 0.5, 0.4), (0.0, 0.4375, 0.4), (1.0, 0.0, 0.4), (0.0, 0.25, 0.4), (1.0, 0.96875, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.25, 0.4), (0.0, 0.125, 0.4), (0.0, 0.65625, 0.4), (1.0, 0.8125, 0.4), (1.0, 0.34375, 0.4), (0.0, 0.0, 0.4), (1.0, 0.1875, 0.4), (1.0, 1.0, 0.4), (0.0, 0.96875, 0.4), (1.0, 0.78125, 0.4), (0.0, 0.15625, 0.4), (1.0, 0.71875, 0.4), (0.0, 0.9375, 0.4), (1.0, 0.375, 0.4), (1.0, 0.40625, 0.4), (0.0, 0.75, 0.4), (0.0, 0.625, 0.4), (0.0, 0.90625, 0.4), (1.0, 0.75, 0.4), (0.0, 0.03125, 0.4), (1.0, 0.53125, 0.4), (0.0, 0.53125, 0.4), (1.0, 0.46875, 0.4), (0.0, 0.875, 0.4), (1.0, 0.03125, 0.4), (1.0, 0.90625, 0.4), (0.0, 1.0, 0.4), (0.0, 0.78125, 0.4), (1.0, 0.21875, 0.4), (0.0, 0.84375, 0.4), (1.0, 0.84375, 0.4), (1.0, 0.3125, 0.4), (1.0, 0.125, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.875, 0.4), (0.0, 0.40625, 0.4), (1.0, 0.15625, 0.4), (0.0, 0.5, 0.4), (0.0, 0.59375, 0.4), (1.0, 0.65625, 0.4), (1.0, 0.28125, 0.4), (1.0, 0.5625, 0.4), (1.0, 0.4375, 0.4), (1.0, 0.9375, 0.4), (1.0, 0.625, 0.4), (0.0, 0.71875, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.34375, 0.4), (0.0, 0.21875, 0.4)]
[ENV]: Finished init Environment
[TRAIN]: actions: 66, observations: 75
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -57.0, rates: 0, loss: 0, rho: 0.4000000000000001
[TRAIN]: (104/1600): reward: -53.72288054227829, rates: 1.277119530370417, loss: 2.0210554122924806, rho: 0.4000000000000001
[TRAIN]: (105/1600): reward: -58.437082171440125, rates: 1.5629178937194697, loss: 2.022879105806351, rho: 0.4000000000000001
[TRAIN]: (106/1600): reward: -38.048670798540115, rates: 3.951329224191583, loss: 1.815399020910263, rho: 0.4000000000000001
[TRAIN]: (107/1600): reward: -69.50058627128601, rates: 1.4994137388945337, loss: 2.04033168554306, rho: 0.4000000000000001
[TRAIN]: (108/1600): reward: -53.112542152404785, rates: 0.887457840414846, loss: 2.0092096507549284, rho: 0.4000000000000001
[TRAIN]: (109/1600): reward: -48.739910304546356, rates: 2.260089648635254, loss: 2.190810227394104, rho: 0.4000000000000001
[TRAIN]: (110/1600): reward: -38.862381249666214, rates: 1.1376186771690917, loss: 2.0213626503944395, rho: 0.4000000000000001
[TRAIN]: (111/1600): reward: -50.55986887216568, rates: 1.4401311983937455, loss: 1.9809254705905914, rho: 0.4000000000000001
[TRAIN]: (112/1600): reward: -52.21446317434311, rates: 1.7855368703142886, loss: 1.9926432132720948, rho: 0.4000000000000001
[TRAIN]: (113/1600): reward: -43.273591902107, rates: 3.7264081080897205, loss: 2.0222125887870788, rho: 0.4000000000000001
[TRAIN]: (114/1600): reward: -53.34287357330322, rates: 1.6571263903938322, loss: 1.9304657280445099, rho: 0.4000000000000001
[TRAIN]: (115/1600): reward: -49.78118026256561, rates: 1.218819872028233, loss: 2.1321514904499055, rho: 0.4000000000000001
[TRAIN]: (116/1600): reward: -61.7680629491806, rates: 0.23193709341933394, loss: 2.130191719532013, rho: 0.4000000000000001
[TRAIN]: (117/1600): reward: -49.371015787124634, rates: 1.6289842903520175, loss: 2.083135664463043, rho: 0.4000000000000001
[TRAIN]: (118/1600): reward: -24.92074511994724, rates: 2.0792548868058423, loss: 2.069586980342865, rho: 0.4000000000000001
[TRAIN]: (119/1600): reward: -66.0, rates: 0, loss: 1.981789416074753, rho: 0.4000000000000001
[TRAIN]: (120/1600): reward: -50.58780714869499, rates: 0.41219286619762396, loss: 2.262375658750534, rho: 0.4000000000000001
[TRAIN]: (121/1600): reward: -48.33618664741516, rates: 0.663813383437368, loss: 2.1173491716384887, rho: 0.4000000000000001
[TRAIN]: (122/1600): reward: -53.45410689711571, rates: 1.5458929890148179, loss: 2.0864720940589905, rho: 0.4000000000000001
[TRAIN]: (123/1600): reward: -62.78251791000366, rates: 0.21748216160512898, loss: 2.1633586287498474, rho: 0.4000000000000001
[TRAIN]: (124/1600): reward: -52.0, rates: 0, loss: 1.8417854070663453, rho: 0.4000000000000001
[TRAIN]: (125/1600): reward: -66.59801030158997, rates: 1.4019897020753014, loss: 1.9864315450191499, rho: 0.4000000000000001
[TRAIN]: (126/1600): reward: -50.45596864819527, rates: 2.5440313241238495, loss: 2.047509378194809, rho: 0.4000000000000001
[TRAIN]: (127/1600): reward: -44.15775430202484, rates: 2.8422456250244843, loss: 2.0061302304267885, rho: 0.4000000000000001
[TRAIN]: (128/1600): reward: -45.68339133262634, rates: 0.3166086829967153, loss: 2.065857607126236, rho: 0.4000000000000001
[TRAIN]: (129/1600): reward: -44.00074674189091, rates: 1.9992532934572163, loss: 2.112945502996445, rho: 0.4000000000000001
[TRAIN]: (130/1600): reward: -38.95123314857483, rates: 0.048766792728874846, loss: 1.9684804022312163, rho: 0.4000000000000001
[TRAIN]: (131/1600): reward: -68.81476378440857, rates: 1.1852361203868187, loss: 1.9201249659061432, rho: 0.4000000000000001
[TRAIN]: (132/1600): reward: -54.64851540327072, rates: 2.3514845902504553, loss: 1.9770999014377595, rho: 0.4000000000000001
[TRAIN]: (133/1600): reward: -46.707544803619385, rates: 1.29245527514373, loss: 2.0746849894523622, rho: 0.4000000000000001
[TRAIN]: (134/1600): reward: -42.836080491542816, rates: 1.1639195034892615, loss: 1.9170688688755035, rho: 0.4000000000000001
[TRAIN]: (135/1600): reward: -41.0, rates: 0.0, loss: 1.8928422451019287, rho: 0.4000000000000001
[TRAIN]: (136/1600): reward: -61.40165567398071, rates: 1.5983443676112141, loss: 1.9818215429782868, rho: 0.4000000000000001
[TRAIN]: (137/1600): reward: -51.34948945045471, rates: 0.6505106081514848, loss: 2.0129044204950333, rho: 0.4000000000000001
[TRAIN]: (138/1600): reward: -41.37724697589874, rates: 2.6227530583355936, loss: 2.0434680461883543, rho: 0.4000000000000001
[TRAIN]: (139/1600): reward: -45.95269858837128, rates: 4.047301488471302, loss: 2.0579477310180665, rho: 0.4000000000000001
[TRAIN]: (140/1600): reward: -65.07394218444824, rates: 0.9260578203033821, loss: 2.0173615902662276, rho: 0.4000000000000001
[TRAIN]: (141/1600): reward: -55.095911741256714, rates: 1.9040882239619081, loss: 2.094395136833191, rho: 0.4000000000000001
[TRAIN]: (142/1600): reward: -73.0, rates: 0, loss: 2.0929918229579925, rho: 0.4000000000000001
[TRAIN]: (143/1600): reward: -41.953953981399536, rates: 1.0460461148565945, loss: 1.9915816128253936, rho: 0.4000000000000001
[TRAIN]: (144/1600): reward: -66.0, rates: 0, loss: 1.9962449967861176, rho: 0.4000000000000001
[TRAIN]: (145/1600): reward: -39.66782820224762, rates: 3.3321717904977577, loss: 2.1116698682308197, rho: 0.4000000000000001
[TRAIN]: (146/1600): reward: -56.41694736480713, rates: 0.5830527429373634, loss: 1.961322122812271, rho: 0.4000000000000001
[TRAIN]: (147/1600): reward: -50.45594394207001, rates: 0.5440560786364793, loss: 2.0790195882320406, rho: 0.4000000000000001
[TRAIN]: (148/1600): reward: -46.740275502204895, rates: 2.259724537714904, loss: 2.124024438858032, rho: 0.4000000000000001
[TRAIN]: (149/1600): reward: -60.0, rates: 0, loss: 2.1515098810195923, rho: 0.4000000000000001
[TRAIN]: (150/1600): reward: -58.56802719831467, rates: 0.4319728035585519, loss: 2.2268673896789553, rho: 0.4000000000000001
[TRAIN]: (151/1600): reward: -51.97710019350052, rates: 2.0228997589600084, loss: 2.077997016906738, rho: 0.4000000000000001
[TRAIN]: (152/1600): reward: -41.591365694999695, rates: 0.408634274469273, loss: 1.95114723443985, rho: 0.4000000000000001
